id,content,sender,sentTime
24,피자님 어떻게 생각하시는데요?,p55,2024-12-15 09:41:43
25,무지님은 몇번 2번업체 3번업체 쪽으로 가자는 말씀이신거죠,p53,2024-12-15 09:41:44
26,네네!!,p56,2024-12-15 09:41:54
27,2번과 3번의 어떤 점이 장점으로 보이나요?,p55,2024-12-15 09:42:15
28,그렇기에는 위험성이 있지 않을가요,p54,2024-12-15 09:42:21
29,1번다음으론 3번이 낫긴합니다,p53,2024-12-15 09:42:53
30,협업기간이 우리랑 협업했던 기간을 말하는거군요<br>타 회사들과의 협업기간이라고 생각했네요,p53,2024-12-15 09:43:21
31,일단 많은 후보자가 있었지만 현재 3개까지로 업체가 좁혀진 상태이고...,p56,2024-12-15 09:43:38
32,저는 안정적인걸 추구해서 1번을 가고 싶습니다,p53,2024-12-15 09:43:39
33,"검증됭 선택이 필요한 시점이라, 리스크가 적은 1번이 나을 것 같아요. 피자님이 생각하는 2번 3번은 어떤 점이 유리할까요?",p55,2024-12-15 09:44:12
34,&nbsp;다수결로 정해야하는게 맞지 않을까요,p53,2024-12-15 09:44:58
35,시간이 10분 남았습니다,p53,2024-12-15 09:45:02
36,2번은 우리랑 협력기간이 없지만 성과측면에서 너무나 우수해서..향후 새로운 파트너가될가능성이 큰것같에요,p56,2024-12-15 09:45:22
37,저도 2번이 성과가 좋고 아직 피드백은 약하지만 같이 일해도 좋을 거 같네요,p54,2024-12-15 09:46:12
38,그리고 2번은 우리랑 처음이다보니,p56,2024-12-15 09:46:13
39,계속 앞으로 함께일하기위해,p56,2024-12-15 09:46:27
40,이번 프로젝트간 더 열심히 하지않을까요?,p56,2024-12-15 09:46:43
41,신생업체 느낌이라 직원도 좋고 우리가 많이 도와주고 키워야할 거 같아서 초반에 시간이 많이 걸릴 거 같은데,p53,2024-12-15 09:46:49
42,수상내역도 충분하고,p53,2024-12-15 09:46:57
43,하청을 하다가 문제가 생기면 계약 파기가 쉬울까요,p53,2024-12-15 09:47:25
44,우수한 Senior 님들도 계시니 지난경험들을통해 많이 가르쳐준다면 큰 시너지 효과가..!!,p56,2024-12-15 09:47:45
45,과반수 투표로 합시다,p53,2024-12-15 09:47:59
46,"2번과 파트너 가능성, 일리가 있는 말이긴 한데, 회사의 안정적인 운영과 책임을 생각하면....저는 1번이 좋을 것 같아요. 2번은 회사가 안정을 찾고 나중에 거래해도 되지 않을까요? 기회는 또 만들면 되니까요.",p55,2024-12-15 09:48:00
47,1번이 좋다고 생각하시는 분 손들어주세요,p53,2024-12-15 09:48:11
48,자기가 협업하고 싶은 업체숫자를 적어주세요,p53,2024-12-15 09:48:23
49,전 1번,p55,2024-12-15 09:48:29
50,1,p53,2024-12-15 09:48:30
51,1,p54,2024-12-15 09:48:35
52,1번으로 채택하겠습니다 무지님 의견도 좋지만 아직까지 무리인거 같네여 ㅠ,p53,2024-12-15 09:48:52
53,회사가 어떤부분에서 안정적이지않다는 의미일까요? 다수결에 선택을따르겠지만&nbsp;,p56,2024-12-15 09:48:54
54,최근에 신입을 채용하지않고,p56,2024-12-15 09:49:02
55,경력직만뽑는 사회적인현상과 똑같은거 같아요 ㅜㅜ,p56,2024-12-15 09:49:20
56,하지만 Senior 분들께서 1번으로 하셨기에 저도 1번하겠습니다,p56,2024-12-15 09:49:49
57,그렇죠 ㅠㅠ 아무ㅐ도 무지님이 젊은 피다보니 변화에 더욱 더 동감하시는 거 같은데,p53,2024-12-15 09:50:05
58,나이가 드니 안정적인걸 찾게 되는 거 가테요,p53,2024-12-15 09:50:14
59,업체2로 갈시 나중에 만약 다 가르쳐놨더니 나중엔 다른 회사 가거나 1번 업체까지 나중엔 놓칠수도 있단 생각도 들어요,p53,2024-12-15 09:50:48
60,1번으로 그럼 결론ㄷ내리겠습니다,p53,2024-12-15 09:50:53
61,넵,p56,2024-12-15 09:51:24
62,네 1번,p55,2024-12-15 09:51:30
63,Senior 분들께서 최종선택결과 답장남겨주시면 될것같에요!,p56,2024-12-15 09:52:04
64,아니면 우리 팀명 지어주신 Senior 분을 임시 대표로(?) ㅋㅋ,p56,2024-12-15 09:52:32
